Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
Geetha, gita
nginx
Github
lel
lol
CDP
DevOps
AT&T, A T and T
AIOPS, a i ops
regex
SRE
k9s, canines
UI
caching, cashing
AWS
VM, v m
OS, o s
LoadRunner, load runner
MOTSID, mots id
mongo
kubectl, cube control
TSpace, tee space
onprem, on prim
Li, lee
AKS
cli
endpoint
etc, et si
vim
TLS
aight, ah ight
fqdn
vnet
CPU
yaml
json
Conexus
API
vm
rainmaker
Splunk
tls
url
istio
mongodb, mongo d b
JFrog, jay frog
git, jit
ADO
jmeter, jay meter
SME, smee
